"","x"
"759","BRCA2"
"760","BRCA2"
"761","BRCA2"
"762","BRCA2"
"763","BRCA2"
"764","BRCA2"
"765","BRCA2"
"766","BRCA2"
"767","BRCA2"
"768","BRCA2"
"769","BRCA2"
"770","BRCA2"
"771","BRCA2"
"772","BRCA2"
"773","BRCA2"
"774","BRCA2"
"775","BRCA2"
"776","BRCA2"
"777","BRCA2"
"778","BRCA2"
"779","BRCA2"
"780","BRCA2"
"781","BRCA2"
"782","BRCA2"
"783","BRCA2"
"784","BRCA2"
"785","BRCA2"
"786","BRCA2"
"787","BRCA2"
"788","BRCA2"
"789","BRCA2"
"790","BRCA2"
"791","BRCA2"
"792","BRCA2"
"793","BRCA2"
"794","BRCA2"
"795","BRCA2"
"796","BRCA2"
"797","BRCA2"
"798","BRCA2"
"799","BRCA2"
"800","BRCA2"
"801","BRCA2"
"802","BRCA2"
"803","BRCA2"
"804","BRCA2"
"805","BRCA2"
"806","BRCA2"
"807","BRCA2"
"808","BRCA2"
"809","BRCA2"
"810","BRCA2"
"811","BRCA2"
"812","BRCA2"
"813","BRCA2"
"814","BRCA2"
"815","BRCA2"
"816","BRCA2"
"817","BRCA2"
"818","BRCA2"
"819","BRCA2"
"820","BRCA2"
"821","BRCA2"
"822","BRCA2"
"823","BRCA2"
"824","BRCA2"
"825","BRCA2"
"826","BRCA2"
"827","BRCA2"
"828","BRCA2"
"829","BRCA2"
"830","BRCA2"
"831","BRCA2"
"832","BRCA2"
"833","BRCA2"
"834","BRCA2"
"835","BRCA2"
"836","BRCA2"
"837","BRCA2"
"838","BRCA2"
"839","BRCA2"
"840","BRCA2"
"841","BRCA2"
"842","BRCA2"
"843","BRCA2"
"844","BRCA2"
"845","BRCA2"
"846","BRCA2"
"847","BRCA2"
"848","BRCA2"
"849","BRCA2"
"850","BRCA2"
"851","BRCA2"
"852","BRCA2"
"853","BRCA2"
"854","BRCA2"
"855","BRCA2"
"856","BRCA2"
"857","BRCA2"
"858","BRCA2"
"859","BRCA2"
"860","BRCA2"
"861","BRCA2"
"862","BRCA2"
"863","BRCA2"
"864","BRCA2"
"865","BRCA2"
"866","BRCA2"
"867","BRCA2"
"868","BRCA2"
"869","BRCA2"
"870","BRCA2"
"871","BRCA2"
"872","BRCA2"
"873","BRCA2"
"874","BRCA2"
"875","BRCA2"
"876","BRCA2"
"877","BRCA2"
"878","BRCA2"
"879","BRCA2"
"880","BRCA2"
"881","BRCA2"
"882","BRCA2"
"883","BRCA2"
"884","BRCA2"
"885","BRCA2"
"886","BRCA2"
"887","BRCA2"
"888","BRCA2"
"889","BRCA2"
"890","BRCA2"
"891","BRCA2"
"892","BRCA2"
"893","BRCA2"
"894","BRCA2"
"895","BRCA2"
"896","BRCA2"
"897","BRCA2"
"898","BRCA2"
"899","BRCA2"
"900","BRCA2"
"901","BRCA2"
"902","BRCA2"
"903","BRCA2"
"904","BRCA2"
"905","BRCA2"
"906","BRCA2"
"907","BRCA2"
"908","BRCA2"
"909","BRCA2"
"910","BRCA2"
"911","BRCA2"
"912","BRCA2"
"913","BRCA2"
"914","BRCA2"
"915","BRCA2"
"916","BRCA2"
"917","BRCA2"
"918","BRCA2"
"919","BRCA2"
"920","BRCA2"
"921","BRCA2"
"922","BRCA2"
"923","BRCA2"
"924","BRCA2"
"925","BRCA2"
"926","BRCA2"
"927","BRCA2"
"928","BRCA2"
"929","BRCA2"
"930","BRCA2"
"931","BRCA2"
"932","BRCA2"
"933","BRCA2"
"934","BRCA2"
"935","BRCA2"
"936","BRCA2"
"937","BRCA2"
"938","BRCA2"
"939","BRCA2"
"940","BRCA2"
"941","BRCA2"
"942","BRCA2"
"943","BRCA2"
"944","BRCA2"
"945","BRCA2"
"946","BRCA2"
"947","BRCA2"
"948","BRCA2"
"949","BRCA2"
"950","BRCA2"
"951","BRCA2"
"952","BRCA2"
"953","BRCA2"
"954","BRCA2"
"955","BRCA2"
"956","BRCA2"
"957","BRCA2"
"958","BRCA2"
"959","BRCA2"
"960","BRCA2"
"961","BRCA2"
"962","BRCA2"
"963","BRCA2"
"964","BRCA2"
"965","BRCA2"
"966","BRCA2"
"967","BRCA2"
"968","BRCA2"
"969","BRCA2"
"970","BRCA2"
"971","BRCA2"
"972","BRCA2"
"973","BRCA2"
"974","BRCA2"
"975","BRCA2"
"976","BRCA2"
"977","BRCA2"
"978","BRCA2"
"979","BRCA2"
"980","BRCA2"
"981","BRCA2"
"982","BRCA2"
"983","BRCA2"
"984","BRCA2"
"985","BRCA2"
"986","BRCA2"
"987","BRCA2"
"988","BRCA2"
"989","BRCA2"
"990","BRCA2"
"991","BRCA2"
"992","BRCA2"
"993","BRCA2"
"994","BRCA2"
"995","BRCA2"
"996","BRCA2"
"997","BRCA2"
"998","BRCA2"
"999","BRCA2"
"1000","BRCA2"
"1001","BRCA2"
"1002","BRCA2"
"1003","BRCA2"
"1004","BRCA2"
"1005","BRCA2"
"1006","BRCA2"
"1007","BRCA2"
"1008","BRCA2"
"1009","BRCA2"
"1010","BRCA2"
"1011","BRCA2"
"1012","BRCA2"
"1013","BRCA2"
"1014","BRCA2"
"1015","BRCA2"
"1016","BRCA2"
"1017","BRCA2"
"1018","BRCA2"
"1019","BRCA2"
"1020","BRCA2"
"1021","BRCA2"
"1022","BRCA2"
"1023","BRCA2"
"1024","BRCA2"
"1025","BRCA2"
"1026","BRCA2"
"1027","BRCA2"
"1028","BRCA2"
"1029","BRCA2"
"1030","BRCA2"
"1031","BRCA2"
"1032","BRCA2"
"1033","BRCA2"
"1034","BRCA2"
"1035","BRCA2"
"1036","BRCA2"
"1037","BRCA2"
"1038","BRCA2"
"1039","BRCA2"
"1040","BRCA2"
"1041","BRCA2"
"1042","BRCA2"
"1043","BRCA2"
"1044","BRCA2"
"1045","BRCA2"
"1046","BRCA2"
"1047","BRCA2"
"1048","BRCA2"
"1049","BRCA2"
"1050","BRCA2"
"1051","BRCA2"
"1052","BRCA2"
"1053","BRCA2"
"1054","BRCA2"
"1055","BRCA2"
"1056","BRCA2"
"1057","BRCA2"
"1058","BRCA2"
"1059","BRCA2"
"1060","BRCA2"
"1061","BRCA2"
"1062","BRCA2"
"1063","BRCA2"
"1064","BRCA2"
"1065","BRCA2"
"1066","BRCA2"
"1067","BRCA2"
"1068","BRCA2"
"1069","BRCA2"
"1070","BRCA2"
"1071","BRCA2"
"1072","BRCA2"
"1073","BRCA2"
"1074","BRCA2"
"1075","BRCA2"
"1076","BRCA2"
"1077","BRCA2"
"1078","BRCA2"
"1079","BRCA2"
"1080","BRCA2"
"1081","BRCA2"
"1082","BRCA2"
"1083","BRCA2"
"1084","BRCA2"
"1085","BRCA2"
"1086","BRCA2"
"1087","BRCA2"
"1088","BRCA2"
"1089","BRCA2"
"1090","BRCA2"
"1091","BRCA2"
"1092","BRCA2"
"1093","BRCA2"
"1094","BRCA2"
"1095","BRCA2"
"1096","BRCA2"
"1097","BRCA2"
"1098","BRCA2"
"1099","BRCA2"
"1100","BRCA2"
"1101","BRCA2"
"1102","BRCA2"
"1103","BRCA2"
"1104","BRCA2"
"1105","BRCA2"
"1106","BRCA2"
"1107","BRCA2"
"1108","BRCA2"
"1109","BRCA2"
"1110","BRCA2"
"1111","BRCA2"
"1112","BRCA2"
"1113","BRCA2"
"1114","BRCA2"
"1115","BRCA2"
"1116","BRCA2"
"1117","BRCA2"
"1118","BRCA2"
"1119","BRCA2"
"1120","BRCA2"
"1121","BRCA2"
"1122","BRCA2"
"1123","BRCA2"
"1124","BRCA2"
"1125","BRCA2"
"1126","BRCA2"
"1127","BRCA2"
"1128","BRCA2"
"1129","BRCA2"
"1130","BRCA2"
"1131","BRCA2"
"1132","BRCA2"
"1133","BRCA2"
"1134","BRCA2"
"1135","BRCA2"
"1136","BRCA2"
"1137","BRCA2"
"1138","BRCA2"
"1139","BRCA2"
"1140","BRCA2"
"1141","BRCA2"
"1142","BRCA2"
"1143","BRCA2"
"1144","BRCA2"
"1145","BRCA2"
"1146","BRCA2"
"1147","BRCA2"
"1148","BRCA2"
"1149","BRCA2"
"1150","BRCA2"
"1151","BRCA2"
"1152","BRCA2"
"1153","BRCA2"
"1154","BRCA2"
"1155","BRCA2"
"1156","BRCA2"
"1157","BRCA2"
"1158","BRCA2"
"1159","BRCA2"
"1160","BRCA2"
"1161","BRCA2"
"1162","BRCA2"
"1163","BRCA2"
"1164","BRCA2"
"1165","BRCA2"
"1166","BRCA2"
"1167","BRCA2"
"1168","BRCA2"
"1169","BRCA2"
"1170","BRCA2"
"1171","BRCA2"
"1172","BRCA2"
"1173","BRCA2"
"1174","BRCA2"
"1175","BRCA2"
"1176","BRCA2"
"1177","BRCA2"
"1178","BRCA2"
"1179","BRCA2"
"1180","BRCA2"
"1181","BRCA2"
"1182","BRCA2"
"1183","BRCA2"
"1184","BRCA2"
"1185","BRCA2"
"1186","BRCA2"
"1187","BRCA2"
"1188","BRCA2"
"1189","BRCA2"
"1190","BRCA2"
"1191","BRCA2"
"1192","BRCA2"
"1193","BRCA2"
"1194","BRCA2"
"1195","BRCA2"
"1196","BRCA2"
"1197","BRCA2"
"1198","BRCA2"
"1199","BRCA2"
"1200","BRCA2"
"1201","BRCA2"
"1202","BRCA2"
"1203","BRCA2"
